Название вакансии;Название компании;Зарплата;Ссылка на вакансию
Программист;ООО Паритет;Не указана;https://tomsk.hh.ru/vacancy/119734470?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист;Гос. корп. ОГБУЗ Лоскутовская районная поликлиника;Не указана;https://tomsk.hh.ru/vacancy/120508472?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Full-stack разработчик (программист фулстек);ООО Делу время;Не указана;https://tomsk.hh.ru/vacancy/120257329?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист;ОГКУ СМЭУ ТО;Не указана;https://tomsk.hh.ru/vacancy/120607995?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++;ООО СИНЕКТА;Не указана;https://tomsk.hh.ru/vacancy/120501760?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1C (Стажер);Центр финансовых технологий;Не указана;https://tomsk.hh.ru/vacancy/120467633?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-программист;Evaxsoft;Не указана;https://tomsk.hh.ru/vacancy/119981992?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Python разработчик (junior);ООО Тендерлайв;Не указана;https://tomsk.hh.ru/vacancy/119772544?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажёр-программист PHP;Консорциум Кодекс;Не указана;https://tomsk.hh.ru/vacancy/119079689?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист;АО Научно-производственная фирма Микран;Не указана;https://tomsk.hh.ru/vacancy/120228896?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист;ООО ПО Дион;Не указана;https://tomsk.hh.ru/vacancy/119959212?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1 С;ООО Инвестстрой;Не указана;https://tomsk.hh.ru/vacancy/120072961?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист;АО Научно-производственная фирма Микран;Не указана;https://tomsk.hh.ru/vacancy/120004529?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист по разработке программного обеспечения к Autodesk Revit;АО Специализированный Застройщик Кировский Сельский Строительный Комбинат;Не указана;https://tomsk.hh.ru/vacancy/120015695?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Cпециалист по персоналу HR/Рекрутер;ООО Холдинг Финанс;Не указана;https://tomsk.hh.ru/vacancy/120360752?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (УТ);ООО МАГ Девелопмент;Не указана;https://tomsk.hh.ru/vacancy/120064133?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С;ЛАМА, Группа компаний;Не указана;https://tomsk.hh.ru/vacancy/110191921?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажер-разработчик (frontend);ООО Цифровые технологии и платформы;Не указана;https://tomsk.hh.ru/vacancy/120222751?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажер-разработчик (РНР, С#);ООО Цифровые технологии и платформы;Не указана;https://tomsk.hh.ru/vacancy/120222109?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С;Латат;Не указана;https://tomsk.hh.ru/vacancy/120199110?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С в IT-компанию;ООО ИЦ КонсультантЪ;Не указана;https://tomsk.hh.ru/vacancy/93180931?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик / Backend Developer;ООО ТД ГраСС;Не указана;https://tomsk.hh.ru/vacancy/120609206?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C++ Developer;Rubius;Не указана;https://tomsk.hh.ru/vacancy/114903659?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП;ОАО НЗТ;Не указана;https://tomsk.hh.ru/vacancy/120589387?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (конфигурация Университет);ТУСУР;Не указана;https://tomsk.hh.ru/vacancy/120580985?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C++ Developer (UI);Rubius;Не указана;https://tomsk.hh.ru/vacancy/118580562?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик 1С;Компания Водяной,ООО;Не указана;https://tomsk.hh.ru/vacancy/120533119?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Разработчик C# (.Net 6, WinForms, WPF);ООО ИндаСофт;Не указана;https://tomsk.hh.ru/vacancy/119963452?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист станков ЧПУ (CAM-программист), г. Нижнекамск;Сибур;Не указана;https://tomsk.hh.ru/vacancy/118775531?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С;ООО Центр Семейной Медицины;Не указана;https://tomsk.hh.ru/vacancy/120479412?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
1С разработчик;Sibedge;Не указана;https://tomsk.hh.ru/vacancy/120614257?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С;ТЭСС;Не указана;https://tomsk.hh.ru/vacancy/120449317?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-разработчик (Middle);VL.RU;Не указана;https://tomsk.hh.ru/vacancy/115656438?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Младший консультант CRM (специалист поддержки);Carcade Leasing;Не указана;https://tomsk.hh.ru/vacancy/120575268?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик для ЦФТ-банк (Стажер);Центр финансовых технологий;Не указана;https://tomsk.hh.ru/vacancy/120523737?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик;ЛАМА, Группа компаний;Не указана;https://tomsk.hh.ru/vacancy/119545026?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java Developer middle (в офисе г. Томск);АО ТомскНИПИнефть;Не указана;https://tomsk.hh.ru/vacancy/120609448?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (Vue) / Frontend Developer (Vue);Rubius;Не указана;https://tomsk.hh.ru/vacancy/119853799?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист (обслуживание комплексов фотовидеофиксации нарушений ПДД);ОГКУ СМЭУ ТО;Не указана;https://tomsk.hh.ru/vacancy/120608488?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий VR-разработчик (Unity/Unreal Engine) в EdTech;Носов Владимир Сергеевич;Не указана;https://tomsk.hh.ru/vacancy/120654565?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С в команду автоматизации;ООО МКК Корона;Не указана;https://tomsk.hh.ru/vacancy/120204435?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
AI/ML Specialist (NLP/CV) в VR EdTech;Носов Владимир Сергеевич;Не указана;https://tomsk.hh.ru/vacancy/120654448?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Presale инженер (Разработка электроники);DI-LABS;Не указана;https://tomsk.hh.ru/vacancy/119758458?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Тестировщик ПО (Junior QA-Engineer);ООО Сибтехнологии;Не указана;https://tomsk.hh.ru/vacancy/120628458?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист по тестированию ПО;ООО СистемоСинтез;Не указана;https://tomsk.hh.ru/vacancy/120307577?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик;ООО ЛЭМЗ-Т;Не указана;https://tomsk.hh.ru/vacancy/95877891?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик чат-ботов и голосовых помощников на платформе JACP (проект Чат-Боты);ООО Совкомбанк Технологии;Не указана;https://tomsk.hh.ru/vacancy/120570197?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Presale инженер (Разработка электроники);DI-LABS;Не указана;https://tomsk.hh.ru/vacancy/119758457?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Системный администратор;ilink;Не указана;https://tomsk.hh.ru/vacancy/120616319?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Technical Engineering Project Management Intern / Стажер инженерно-технической проектной группы;ООО Procter&Gamble - Новомосковск;Не указана;https://tomsk.hh.ru/vacancy/118112823?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
